G31,MeduMother Educated, of Total Number of Records
0,Mother Uneducated,2.985074627
0,Mother Educated,1.592356688
1,Mother Educated,0.318471338
5,Mother Educated,0.318471338
6,Mother Uneducated,0.597014925
6,Mother Educated,0.318471338
7,Mother Uneducated,1.492537313
7,Mother Educated,1.592356688
8,Mother Uneducated,5.970149254
8,Mother Educated,4.777070064
9,Mother Uneducated,8.059701493
9,Mother Educated,2.547770701
10,Mother Uneducated,19.10447761
10,Mother Educated,10.50955414
11,Mother Uneducated,17.6119403
11,Mother Educated,14.33121019
12,Mother Uneducated,11.04477612
12,Mother Educated,11.14649682
13,Mother Uneducated,11.94029851
13,Mother Educated,13.37579618
14,Mother Uneducated,8.059701493
14,Mother Educated,11.46496815
15,Mother Uneducated,5.671641791
15,Mother Educated,9.554140127
16,Mother Uneducated,4.179104478
16,Mother Educated,7.006369427
17,Mother Uneducated,1.492537313
17,Mother Educated,7.643312102
18,Mother Uneducated,1.791044776
18,Mother Educated,2.866242038
19,Mother Educated,0.636942675
,,
,,200
