Fedu,G31,Number of Records,,,,,,,,
0,0,14,,,0,,,,,
0,2,25,,,50,average,,median,,
0,5,32,,,160,8.503225806,,142,c7,9
0,6,37,,,222,11.57843137,,175,41,12
0,8,34,,,272,,,,,
0,9,35,,,315,,,,,
0,10,32,,median,320,,,,,
0,11,28,,310,308,,,,,
0,12,25,,306,300,,,,,
0,13,18,,,234,,,,,
0,14,13,,,182,,,,,
0,15,8,,,120,,,,,
0,16,5,,,80,,,,,
0,17,1,,,17,,,,,
0,18,2,,,36,,,,,
0,19,0,,,0,,,,,
0,20,1,,,20,,,,,
1,0,5,,,0,,,,,
1,1,8,,,8,,,,,
1,4,4,,,16,,,,,
1,7,12,,,84,,,,,
1,8,15,,,120,,,,,
1,9,23,,,207,,,,,
1,10,31,,,310,,,,,
1,11,36,,,396,,,,,
1,12,41,,,492,,,,,
1,13,42,,,546,,,,,
1,14,34,,,476,,,,,
1,15,23,,,345,,,,,
1,16,14,,,224,,,,,
1,17,9,,,153,,,,,
1,18,5,,,90,,,,,
1,19,4,,,76,,,,,
