,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,CatG3
0,GP,F,18,U,GT3,A,1,1,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,5,3,4,1,1,3,4,0,11,11,B
1,GP,F,17,U,GT3,T,0,0,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,2,9,11,11,B
2,GP,F,15,U,LE3,T,0,0,at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,5,3,2,2,3,3,6,12,13,12,B
3,GP,F,15,U,GT3,T,1,0,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,1,2,2,1,1,5,0,14,14,14,B
4,GP,F,16,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,5,3,2,1,2,5,0,11,13,13,B
5,GP,M,16,U,LE3,T,1,1,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,6,12,12,13,B
6,GP,M,16,U,LE3,T,0,0,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,5,4,4,1,1,3,0,13,12,13,B
7,GP,F,17,U,GT3,A,1,1,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,5,1,4,1,1,1,2,10,13,13,B
8,GP,M,15,U,LE3,A,1,0,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,5,2,2,1,1,1,0,15,16,17,A
9,GP,M,15,U,GT3,T,1,1,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,12,12,13,B
10,GP,F,15,U,GT3,T,1,1,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,1,3,3,1,2,2,2,14,14,14,B
11,GP,F,15,U,GT3,T,0,0,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0,10,12,13,B
